,code,name,is_exist
697,1144012000,서울특별시 마포구 서교동,존재
698,1144012100,서울특별시 마포구 동교동,존재
699,1144012200,서울특별시 마포구 합정동,존재
700,1144012300,서울특별시 마포구 망원동,존재
701,1144012400,서울특별시 마포구 연남동,존재
702,1144012500,서울특별시 마포구 성산동,존재
703,1144012600,서울특별시 마포구 중동,존재
704,1144012700,서울특별시 마포구 상암동,존재
716,1147000000,서울특별시 양천구,존재
717,1147010100,서울특별시 양천구 신정동,존재
718,1147010200,서울특별시 양천구 목동,존재
719,1147010300,서울특별시 양천구 신월동,존재
737,1150000000,서울특별시 강서구,존재
740,1150010100,서울특별시 강서구 염창동,존재
741,1150010200,서울특별시 강서구 등촌동,존재
742,1150010300,서울특별시 강서구 화곡동,존재
743,1150010400,서울특별시 강서구 가양동,존재
744,1150010500,서울특별시 강서구 마곡동,존재
745,1150010600,서울특별시 강서구 내발산동,존재
746,1150010700,서울특별시 강서구 외발산동,존재
747,1150010800,서울특별시 강서구 공항동,존재
748,1150010900,서울특별시 강서구 방화동,존재
749,1150011000,서울특별시 강서구 개화동,존재
750,1150011100,서울특별시 강서구 과해동,존재
751,1150011200,서울특별시 강서구 오곡동,존재
752,1150011300,서울특별시 강서구 오쇠동,존재
765,1153000000,서울특별시 구로구,존재
766,1153010100,서울특별시 구로구 신도림동,존재
767,1153010200,서울특별시 구로구 구로동,존재
768,1153010300,서울특별시 구로구 가리봉동,존재
771,1153010600,서울특별시 구로구 고척동,존재
772,1153010700,서울특별시 구로구 개봉동,존재
773,1153010800,서울특별시 구로구 오류동,존재
774,1153010900,서울특별시 구로구 궁동,존재
775,1153011000,서울특별시 구로구 온수동,존재
776,1153011100,서울특별시 구로구 천왕동,존재
777,1153011200,서울특별시 구로구 항동,존재
806,1154500000,서울특별시 금천구,존재
807,1154510100,서울특별시 금천구 가산동,존재
808,1154510200,서울특별시 금천구 독산동,존재
809,1154510300,서울특별시 금천구 시흥동,존재
810,1156000000,서울특별시 영등포구,존재
858,1156010100,서울특별시 영등포구 영등포동,존재
859,1156010200,서울특별시 영등포구 영등포동1가,존재
860,1156010300,서울특별시 영등포구 영등포동2가,존재
861,1156010400,서울특별시 영등포구 영등포동3가,존재
862,1156010500,서울특별시 영등포구 영등포동4가,존재
863,1156010600,서울특별시 영등포구 영등포동5가,존재
864,1156010700,서울특별시 영등포구 영등포동6가,존재
865,1156010800,서울특별시 영등포구 영등포동7가,존재
866,1156010900,서울특별시 영등포구 영등포동8가,존재
867,1156011000,서울특별시 영등포구 여의도동,존재
868,1156011100,서울특별시 영등포구 당산동1가,존재
869,1156011200,서울특별시 영등포구 당산동2가,존재
870,1156011300,서울특별시 영등포구 당산동3가,존재
871,1156011400,서울특별시 영등포구 당산동4가,존재
872,1156011500,서울특별시 영등포구 당산동5가,존재
873,1156011600,서울특별시 영등포구 당산동6가,존재
874,1156011700,서울특별시 영등포구 당산동,존재
875,1156011800,서울특별시 영등포구 도림동,존재
876,1156011900,서울특별시 영등포구 문래동1가,존재
877,1156012000,서울특별시 영등포구 문래동2가,존재
878,1156012100,서울특별시 영등포구 문래동3가,존재
879,1156012200,서울특별시 영등포구 문래동4가,존재
880,1156012300,서울특별시 영등포구 문래동5가,존재
881,1156012400,서울특별시 영등포구 문래동6가,존재
882,1156012500,서울특별시 영등포구 양평동1가,존재
883,1156012600,서울특별시 영등포구 양평동2가,존재
884,1156012700,서울특별시 영등포구 양평동3가,존재
885,1156012800,서울특별시 영등포구 양평동4가,존재
886,1156012900,서울특별시 영등포구 양평동5가,존재
887,1156013000,서울특별시 영등포구 양평동6가,존재
888,1156013100,서울특별시 영등포구 양화동,존재
889,1156013200,서울특별시 영등포구 신길동,존재
890,1156013300,서울특별시 영등포구 대림동,존재
891,1156013400,서울특별시 영등포구 양평동,존재
913,1159000000,서울특별시 동작구,존재
914,1159010100,서울특별시 동작구 노량진동,존재
915,1159010200,서울특별시 동작구 상도동,존재
916,1159010300,서울특별시 동작구 상도1동,존재
917,1159010400,서울특별시 동작구 본동,존재
918,1159010500,서울특별시 동작구 흑석동,존재
919,1159010600,서울특별시 동작구 동작동,존재
920,1159010700,서울특별시 동작구 사당동,존재
921,1159010800,서울특별시 동작구 대방동,존재
922,1159010900,서울특별시 동작구 신대방동,존재
937,1162000000,서울특별시 관악구,존재
948,1162010100,서울특별시 관악구 봉천동,존재
949,1162010200,서울특별시 관악구 신림동,존재
950,1162010300,서울특별시 관악구 남현동,존재
975,1165000000,서울특별시 서초구,존재
977,1165010100,서울특별시 서초구 방배동,존재
978,1165010200,서울특별시 서초구 양재동,존재
979,1165010300,서울특별시 서초구 우면동,존재
980,1165010400,서울특별시 서초구 원지동,존재
982,1165010600,서울특별시 서초구 잠원동,존재
983,1165010700,서울특별시 서초구 반포동,존재
984,1165010800,서울특별시 서초구 서초동,존재
985,1165010900,서울특별시 서초구 내곡동,존재
986,1165011000,서울특별시 서초구 염곡동,존재
987,1165011100,서울특별시 서초구 신원동,존재
1003,1168000000,서울특별시 강남구,존재
1037,1168010100,서울특별시 강남구 역삼동,존재
1039,1168010300,서울특별시 강남구 개포동,존재
1040,1168010400,서울특별시 강남구 청담동,존재
1041,1168010500,서울특별시 강남구 삼성동,존재
1042,1168010600,서울특별시 강남구 대치동,존재
1043,1168010700,서울특별시 강남구 신사동,존재
1044,1168010800,서울특별시 강남구 논현동,존재
1045,1168011000,서울특별시 강남구 압구정동,존재
1046,1168011100,서울특별시 강남구 세곡동,존재
1047,1168011200,서울특별시 강남구 자곡동,존재
1048,1168011300,서울특별시 강남구 율현동,존재
1049,1168011400,서울특별시 강남구 일원동,존재
